movie_code,movie_name_ko,movie_name_en,movie_name_og,prdt_year,time,genres,directors,watch_grade_nm,actor1,actor2,actor3
20181877,캡틴 마블,Captain Marvel,,2018,123,액션,애너 보든,12세이상관람가,브리 라슨,사무엘 L. 잭슨,벤 멘델슨
20196601,항거:유관순 이야기,A Resistance,,2018,105,드라마,조민호,12세이상관람가,고아성,김새벽,김예은
20177539,사바하,SVAHA : THE SIXTH FINGER,,2018,122,미스터리,장재현,15세이상관람가,이정재,박정민,이재인
20185881,증인,Innocent Witness,,2018,129,드라마,이한,12세이상관람가,정우성,김향기,이규형
20182530,극한직업,Extreme Job,,2018,111,코미디,이병헌,15세이상관람가,류승룡,이하늬,진선규
20184574,그린 북,Green Book,,2018,130,드라마,피터 패럴리,12세이상관람가,비고 모텐슨,마허샬라 알리,
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,,2018,119,드라마,요르고스 란티모스,15세이상관람가,올리비아 콜맨,엠마 스톤,레이첼 와이즈
20177282,리노,Lino - Adventure of Seven Lives,Lino: Uma Aventura de Sete Vidas,2017,88,애니메이션,라파엘 리바스,전체관람가,,,
20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,,2018,116,드라마,김유성,12세이상관람가,정지훈,강소라,이범수
20195743,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,,2018,87,애니메이션,린 사우더랜드,전체관람가,사문영,김혜성,남도형
20197283,이스케이프 룸,The Escape Room,,2018,99,액션,애덤 로비텔,15세이상관람가,테일러 러셀,로건 밀러,제이 엘리스
20176103,돈,Money,,2018,115,범죄,박누리,15세이상관람가,류준열,유지태,조우진
20197356,라스트 미션,The Mule,,2018,116,드라마,클린트 이스트우드,15세이상관람가,클린트 이스트우드,타이사 파미가,브래들리 쿠퍼
20196723,숲속왕국의 꿀벌 여왕,Tall Tales,,2017,87,애니메이션,아르나드 부롱,전체관람가,최원형,장은숙,안종덕
20197846,악질경찰,Jo Pil-ho: The Dawning Rage,,2018,127,범죄,이정범,청소년관람불가,이선균,전소니,박해준
20175407,우상,Idol,,2018,143,스릴러,이수진,15세이상관람가,한석규,설경구,천우희
